code,sido,sigungu,crude,adjusted
11010,서울특별시,종로구,19.8,13.7
11020,서울특별시,중구,17.7,12.4
11030,서울특별시,용산구,24,16.8
11040,서울특별시,성동구,17.9,14.3
11050,서울특별시,광진구,18.5,14.8
11060,서울특별시,동대문구,21.9,15.2
11070,서울특별시,중랑구,22,15.4
11080,서울특별시,성북구,22.4,17.4
11090,서울특별시,강북구,25.8,18.2
11100,서울특별시,도봉구,22.4,16.3
11110,서울특별시,노원구,23.1,16.4
11120,서울특별시,은평구,23,16.1
11130,서울특별시,서대문구,22.7,16.9
11140,서울특별시,마포구,20.5,17
11150,서울특별시,양천구,19.2,14.9
11160,서울특별시,강서구,18.4,14.4
11170,서울특별시,구로구,20,14.8
11180,서울특별시,금천구,23.4,17
11190,서울특별시,영등포구,17.6,12.8
11200,서울특별시,동작구,18.7,13.8
11210,서울특별시,관악구,19.2,15.3
11220,서울특별시,서초구,18,14.3
11230,서울특별시,강남구,16.8,14.1
11240,서울특별시,송파구,17.1,13.4
11250,서울특별시,강동구,20.9,15.3
21010,부산광역시,중구,24.4,14
21020,부산광역시,서구,25.9,14.4
21030,부산광역시,동구,24.8,14.5
21040,부산광역시,영도구,25,14.1
21050,부산광역시,부산진구,21.3,14
21060,부산광역시,동래구,17.4,12.2
21070,부산광역시,남구,24.5,16.8
21080,부산광역시,북구,18.6,12.6
21090,부산광역시,해운대구,21,14.4
21100,부산광역시,사하구,24,16.8
21110,부산광역시,금정구,21.2,13.1
21120,부산광역시,강서구,16,13.1
21130,부산광역시,연제구,21.1,14.4
21140,부산광역시,수영구,18.5,12.3
21150,부산광역시,사상구,22.9,15.5
21310,부산광역시,기장군,19.2,14
22010,대구광역시,중구,20.5,14.7
22020,대구광역시,동구,19.3,12.4
22030,대구광역시,서구,24.3,14.2
22040,대구광역시,남구,23.2,15.1
22050,대구광역시,북구,17.8,13.3
22060,대구광역시,수성구,18.1,13.6
22070,대구광역시,달서구,18.4,13.7
22310,대구광역시,달성군,16,12.3
23010,인천광역시,중구,18.7,15
23020,인천광역시,동구,29.1,17.6
23030,인천광역시,미추홀구,26,18.4
23040,인천광역시,연수구,17.6,14.8
23050,인천광역시,남동구,22.2,17.9
23060,인천광역시,부평구,22.4,16.7
