Lake,Size,Food,Count
Hancock,Small,Fish,23
Hancock,Small,Invertebrate,4
Hancock,Small,Reptile,2
Hancock,Small,Bird,2
Hancock,Small,Other,8
Hancock,Big,Fish,7
Hancock,Big,Invertebrate,0
Hancock,Big,Reptile,1
Hancock,Big,Bird,3
Hancock,Big,Other,5
Ocklawaha,Small,Fish,5
Ocklawaha,Small,Invertebrate,11
Ocklawaha,Small,Reptile,1
Ocklawaha,Small,Bird,0
Ocklawaha,Small,Other,3
Ocklawaha,Big,Fish,13
Ocklawaha,Big,Invertebrate,8
Ocklawaha,Big,Reptile,6
Ocklawaha,Big,Bird,1
Ocklawaha,Big,Other,0
Trafford,Small,Fish,5
Trafford,Small,Invertebrate,11
Trafford,Small,Reptile,2
Trafford,Small,Bird,1
Trafford,Small,Other,5
Trafford,Big,Fish,8
Trafford,Big,Invertebrate,7
Trafford,Big,Reptile,6
Trafford,Big,Bird,3
Trafford,Big,Other,5
George,Small,Fish,16
George,Small,Invertebrate,19
George,Small,Reptile,1
George,Small,Bird,2
George,Small,Other,3
George,Big,Fish,17
George,Big,Invertebrate,1
George,Big,Reptile,0
George,Big,Bird,1
George,Big,Other,3
